"Industry","Fuel Used","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Industrial off-road mobile machinery","DERV",0.05,0.05,0.05,0.05,0.06,0.05,"0.05",0.06,0.06,0.07
"Industrial off-road mobile machinery","DERV",0.1,0.1,0.09,0.1,0.1,0.09,"0.09",0.1,0.11,0.12
"Industrial off-road mobile machinery","DERV",0.02,0.02,0.01,0.02,0.02,0.01,"0.02",0.02,0.02,0.02
"Industrial off-road mobile machinery","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","DERV",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.16,0.14,0.1,0.09,0.07,0.09,"7.0000000000000007E-2",0.07,0.08,0.07
"Industrial off-road mobile machinery","Gas oil",0.27,0.24,0.17,0.16,0.12,0.14,"0.1",0.1,0.12,0.1
"Industrial off-road mobile machinery","Gas oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.02,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.01,0.01,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.4,0.38,0.31,0.31,0.26,0.34,"0.26",0.28,0.34,0.29
"Industrial off-road mobile machinery","Gas oil",0.75,0.71,0.55,0.55,0.45,0.59,"0.44",0.47,0.58,0.51
"Industrial off-road mobile machinery","Gas oil",0.12,0.12,0.09,0.09,0.07,0.1,"7.0000000000000007E-2",0.08,0.09,0.08
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
"Industrial off-road mobile machinery","Gas oil",0.05,0.05,0.04,0.03,0.03,0.03,"0.02",0.02,0.03,0.02
"Industrial off-road mobile machinery","Gas oil",0.02,0.02,0.01,0.01,0.01,0.01,"0.01",0.01,0.01,0.01
